"person","birthYear","interest"
http://dbpedia.org/resource/Elizabeth_S._Anderson,1959,http://dbpedia.org/resource/Social_philosophy
http://dbpedia.org/resource/Elizabeth_S._Anderson,1959,http://dbpedia.org/resource/Feminist_philosophy
http://dbpedia.org/resource/Elizabeth_S._Anderson,1959,http://dbpedia.org/resource/Ethics
http://dbpedia.org/resource/Elizabeth_S._Anderson,1959,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Fred_Dallmayr,1928,http://dbpedia.org/resource/Deconstruction
http://dbpedia.org/resource/Fred_Dallmayr,1928,http://dbpedia.org/resource/Intercultural_philosophy
http://dbpedia.org/resource/Fred_Dallmayr,1928,http://dbpedia.org/resource/Contemporary_philosophy
http://dbpedia.org/resource/Fred_Dallmayr,1928,http://dbpedia.org/resource/Critical_theory
http://dbpedia.org/resource/Fred_Dallmayr,1928,http://dbpedia.org/resource/Phenomenology_(philosophy)
http://dbpedia.org/resource/Fred_Dallmayr,1928,http://dbpedia.org/resource/Hermeneutics
http://dbpedia.org/resource/George_Santayana,1863,http://dbpedia.org/resource/Epistemology
http://dbpedia.org/resource/George_Santayana,1863,http://dbpedia.org/resource/Philosophy_of_religion
http://dbpedia.org/resource/George_Santayana,1863,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/George_Santayana,1863,http://dbpedia.org/resource/Metaphysics
http://dbpedia.org/resource/George_Santayana,1863,http://dbpedia.org/resource/Moral_philosophy
http://dbpedia.org/resource/Gianni_Vattimo,1936,http://dbpedia.org/resource/Ethics
http://dbpedia.org/resource/Gianni_Vattimo,1936,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Gilles_Deleuze,1925,http://dbpedia.org/resource/Psychoanalysis
http://dbpedia.org/resource/Gilles_Deleuze,1925,http://dbpedia.org/resource/Metaphilosophy
http://dbpedia.org/resource/Gilles_Deleuze,1925,http://dbpedia.org/resource/Aesthetics
http://dbpedia.org/resource/Gilles_Deleuze,1925,http://dbpedia.org/resource/Film_semiotics
http://dbpedia.org/resource/Gilles_Deleuze,1925,http://dbpedia.org/resource/Metaphysics
http://dbpedia.org/resource/Gilles_Deleuze,1925,http://dbpedia.org/resource/Literary_theory
http://dbpedia.org/resource/Gilles_Deleuze,1925,http://dbpedia.org/resource/Semiotics
http://dbpedia.org/resource/Gilles_Deleuze,1925,http://dbpedia.org/resource/History_of_Western_philosophy
http://dbpedia.org/resource/Giorgio_Agamben,1942,http://dbpedia.org/resource/Aesthetics
http://dbpedia.org/resource/Giorgio_Agamben,1942,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Gordon_Finlayson,1964,http://dbpedia.org/resource/Kantian_philosophy
http://dbpedia.org/resource/Mortimer_J._Adler,1902,http://dbpedia.org/resource/Metaphysics
http://dbpedia.org/resource/Mortimer_J._Adler,1902,http://dbpedia.org/resource/Philosophical_theology
http://dbpedia.org/resource/Theodor_W._Adorno,1903,http://dbpedia.org/resource/Psychoanalysis
http://dbpedia.org/resource/Theodor_W._Adorno,1903,http://dbpedia.org/resource/Musicology
http://dbpedia.org/resource/Theodor_W._Adorno,1903,http://dbpedia.org/resource/Epistemology
http://dbpedia.org/resource/Theodor_W._Adorno,1903,http://dbpedia.org/resource/Aesthetics
http://dbpedia.org/resource/Theodor_W._Adorno,1903,http://dbpedia.org/resource/Social_theory
http://dbpedia.org/resource/Theodor_W._Adorno,1903,http://dbpedia.org/resource/Mass_media
http://dbpedia.org/resource/Theodor_W._Adorno,1903,http://dbpedia.org/resource/Sociology
http://dbpedia.org/resource/Thomas_Pogge,1953,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Erin_Manning_(theorist),1969,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Antonio_Negri,1933,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Lev_Kreft,1951,http://dbpedia.org/resource/Social_philosophy
http://dbpedia.org/resource/Lev_Kreft,1951,http://dbpedia.org/resource/Ethics
http://dbpedia.org/resource/Lev_Kreft,1951,http://dbpedia.org/resource/Aesthetics
http://dbpedia.org/resource/Lev_Kreft,1951,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Lev_Kreft,1951,http://dbpedia.org/resource/Cultural_sociology
http://dbpedia.org/resource/Lev_Kreft,1951,http://dbpedia.org/resource/Cultural_philosophy
http://dbpedia.org/resource/Lorella_Cedroni,1961,http://dbpedia.org/resource/Democracy
http://dbpedia.org/resource/Lorella_Cedroni,1961,http://dbpedia.org/resource/Human_rights
http://dbpedia.org/resource/Lorella_Cedroni,1961,http://dbpedia.org/resource/Gender_studies
http://dbpedia.org/resource/Lorella_Cedroni,1961,http://dbpedia.org/resource/Populism
http://dbpedia.org/resource/Lorella_Cedroni,1961,http://dbpedia.org/resource/Political_representation
http://dbpedia.org/resource/Lorella_Cedroni,1961,http://dbpedia.org/resource/Political_theory
http://dbpedia.org/resource/Lorella_Cedroni,1961,http://dbpedia.org/resource/Political_language
http://dbpedia.org/resource/Lorenz_Bruno_Puntel,1935,http://dbpedia.org/resource/Philosophy_of_religion
http://dbpedia.org/resource/Lorenz_Bruno_Puntel,1935,http://dbpedia.org/resource/Philosophy_of_science
http://dbpedia.org/resource/Lorraine_Smith_Pangle,1958,http://dbpedia.org/resource/Ethics
http://dbpedia.org/resource/Lorraine_Smith_Pangle,1958,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Lorraine_Smith_Pangle,1958,http://dbpedia.org/resource/Philosophy_of_friendship
http://dbpedia.org/resource/Ludwig_Feuerbach,1804,http://dbpedia.org/resource/Philosophy_of_religion
http://dbpedia.org/resource/Bob_Brecher,1949,http://dbpedia.org/resource/Ethics
http://dbpedia.org/resource/Bob_Brecher,1949,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Simon_Critchley,1960,http://dbpedia.org/resource/Ethics
http://dbpedia.org/resource/Simon_Critchley,1960,http://dbpedia.org/resource/Aesthetics
http://dbpedia.org/resource/Simon_Critchley,1960,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Simone_Weil,1909,http://dbpedia.org/resource/Philosophy_of_religion
http://dbpedia.org/resource/Simone_Weil,1909,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Simone_Weil,1909,http://dbpedia.org/resource/Moral_philosophy
http://dbpedia.org/resource/Simone_Weil,1909,http://dbpedia.org/resource/Philosophy_of_science
http://dbpedia.org/resource/Slavoj_Žižek,1949,http://dbpedia.org/resource/Psychoanalysis
http://dbpedia.org/resource/Slavoj_Žižek,1949,http://dbpedia.org/resource/Cultural_studies
http://dbpedia.org/resource/Slavoj_Žižek,1949,http://dbpedia.org/resource/Ideology
http://dbpedia.org/resource/Slavoj_Žižek,1949,http://dbpedia.org/resource/German_idealism
http://dbpedia.org/resource/Slavoj_Žižek,1949,http://dbpedia.org/resource/Dialectic
http://dbpedia.org/resource/Slavoj_Žižek,1949,http://dbpedia.org/resource/Marxism
http://dbpedia.org/resource/Slavoj_Žižek,1949,http://dbpedia.org/resource/Film_theory
http://dbpedia.org/resource/Slavoj_Žižek,1949,http://dbpedia.org/resource/Ontology
http://dbpedia.org/resource/Slavoj_Žižek,1949,http://dbpedia.org/resource/Theology
http://dbpedia.org/resource/Slavoj_Žižek,1949,http://dbpedia.org/resource/Political_theory
http://dbpedia.org/resource/Émile_Chartier,1868,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Étienne_Gilson,1884,http://dbpedia.org/resource/History_of_philosophy
http://dbpedia.org/resource/Étienne_Gilson,1884,http://dbpedia.org/resource/Literature
http://dbpedia.org/resource/Étienne_Gilson,1884,http://dbpedia.org/resource/Politics
http://dbpedia.org/resource/Étienne_Gilson,1884,http://dbpedia.org/resource/Metaphysics
http://dbpedia.org/resource/Étienne_Gilson,1884,http://dbpedia.org/resource/Theology
http://dbpedia.org/resource/John_Passmore,1914,http://dbpedia.org/resource/History_of_philosophy
http://dbpedia.org/resource/John_Passmore,1914,http://dbpedia.org/resource/Philosophy_of_teaching
http://dbpedia.org/resource/Kristi_Sweet,1976,http://dbpedia.org/resource/Ethics
http://dbpedia.org/resource/Kristi_Sweet,1976,http://dbpedia.org/resource/Kant
http://dbpedia.org/resource/Michael_A._Smith,1954,http://dbpedia.org/resource/Philosophy_of_mind
http://dbpedia.org/resource/Michael_A._Smith,1954,http://dbpedia.org/resource/Moral_psychology
http://dbpedia.org/resource/Michael_A._Smith,1954,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Michael_A._Smith,1954,http://dbpedia.org/resource/Moral_philosophy
http://dbpedia.org/resource/Michael_A._Smith,1954,http://dbpedia.org/resource/Philosophy_of_language
http://dbpedia.org/resource/Michael_W._Austin,1969,http://dbpedia.org/resource/Philosophy_of_religion
http://dbpedia.org/resource/Michael_W._Austin,1969,http://dbpedia.org/resource/Moral_philosophy
http://dbpedia.org/resource/Avital_Ronell,1952,http://dbpedia.org/resource/Deficiency_(medicine)
http://dbpedia.org/resource/Avital_Ronell,1952,http://dbpedia.org/resource/Telephony
http://dbpedia.org/resource/Avital_Ronell,1952,http://dbpedia.org/resource/Stupidity
http://dbpedia.org/resource/Avital_Ronell,1952,http://dbpedia.org/resource/Technology
http://dbpedia.org/resource/Avital_Ronell,1952,http://dbpedia.org/resource/Addiction
